1024 209 112 113 random
1024 544 183 165 random
1024 453 99 92 random
1024 227 143 185 random
1024 256 107 95 random
1024 210 196 121 random
1024 247 126 111 random
1024 162 90 102 random
1024 241 110 94 random
1024 254 101 111 random
1024 8750 5167 4761 sorted
1024 8793 3273 4184 sorted
1024 5888 2814 2831 sorted
1024 6586 3804 2842 sorted
1024 7381 3085 2769 sorted
1024 6693 5304 2784 sorted
1024 7701 6028 11688 sorted
1024 8110 4465 4176 sorted
1024 6170 2778 3493 sorted
1024 7002 3895 4884 sorted
2048 741 243 205 random
2048 428 132 132 random
2048 418 129 177 random
2048 684 202 188 random
2048 510 149 193 random
2048 559 136 148 random
2048 701 221 314 random
2048 560 234 151 random
2048 601 199 194 random
2048 545 387 189 random
2048 27956 8197 8474 sorted
2048 23259 7753 7353 sorted
2048 24557 9364 7746 sorted
2048 24782 10039 9024 sorted
2048 29260 9807 9230 sorted
2048 28047 8274 8096 sorted
2048 27293 7893 9453 sorted
2048 32322 9302 10362 sorted
2048 30177 9060 9780 sorted
2048 21808 6071 6888 sorted
4096 2029 166 167 random
4096 1446 190 196 random
4096 1549 176 170 random
4096 1136 229 178 random
4096 1207 175 184 random
4096 1012 354 170 random
4096 972 149 261 random
4096 1100 251 171 random
4096 1257 272 176 random
4096 1184 173 274 random
4096 89623 21832 13232 sorted
4096 100503 13122 18610 sorted
4096 111326 17443 13151 sorted
4096 88727 13114 12824 sorted
4096 94086 13044 17712 sorted
4096 99664 12955 15074 sorted
4096 127343 14143 18269 sorted
4096 105949 20047 13918 sorted
4096 90335 13342 15168 sorted
4096 97518 13188 14057 sorted
8192 2928 258 224 random
8192 2305 368 245 random
8192 2433 235 239 random
8192 2533 250 240 random
8192 3075 321 375 random
8192 3432 289 266 random
8192 1925 320 336 random
8192 2011 240 374 random
8192 1867 467 226 random
8192 2816 373 236 random
8192 535887 41685 39372 sorted
8192 547840 39309 33404 sorted
8192 507304 33205 37818 sorted
8192 497251 34129 38701 sorted
8192 478315 38700 30776 sorted
8192 449538 37514 44510 sorted
8192 429730 47116 31879 sorted
8192 510395 26468 31852 sorted
8192 460286 29650 31946 sorted
8192 475103 30811 27763 sorted
16384 6506 338 1040 random
16384 4565 356 363 random
16384 4547 327 333 random
1024 274 97 91 random
1024 161 92 153 random
1024 159 93 101 random
1024 158 97 98 random
1024 182 111 132 random
1024 171 98 89 random
1024 151 96 92 random
1024 293 171 175 random
1024 166 104 92 random
1024 165 90 104 random
1024 5159 2792 2776 sorted
1024 5224 2582 2785 sorted
1024 5194 2768 2724 sorted
1024 5518 3947 4548 sorted
1024 4839 2674 2673 sorted
1024 4652 2699 4601 sorted
1024 8098 3700 4434 sorted
1024 5266 3248 4126 sorted
1024 5126 2741 2797 sorted
1024 7443 3311 3412 sorted
2048 3360 191 191 random
2048 379 110 120 random
2048 349 120 113 random
2048 395 113 126 random
2048 369 116 126 random
2048 372 130 127 random
2048 359 136 128 random
2048 360 115 124 random
2048 394 117 123 random
2048 364 155 120 random
2048 22342 6228 6217 sorted
2048 29103 11846 8413 sorted
2048 23220 6581 6347 sorted
2048 21538 6273 6206 sorted
2048 21659 6207 6141 sorted
2048 21328 6319 6221 sorted
2048 21366 6112 6243 sorted
2048 27232 6105 9588 sorted
2048 21333 6045 6073 sorted
2048 21819 5992 8655 sorted
4096 1128 252 178 random
4096 782 148 137 random
4096 775 161 146 random
4096 914 172 169 random
4096 781 147 152 random
4096 882 144 164 random
4096 793 172 160 random
4096 804 148 137 random
4096 827 146 143 random
4096 942 157 139 random
4096 87013 25274 22703 sorted
4096 87633 13220 13945 sorted
4096 94633 14444 14712 sorted
4096 98214 14778 14404 sorted
4096 105985 13523 13425 sorted
4096 87731 12984 13529 sorted
4096 93579 13387 12792 sorted
4096 109142 12681 12757 sorted
4096 93552 15597 15908 sorted
4096 106793 12836 13153 sorted
8192 2099 237 218 random
8192 2879 603 255 random
8192 1863 546 395 random
8192 1947 395 369 random
8192 3523 249 675 random
8192 1843 549 221 random
8192 2601 218 222 random
8192 1908 517 234 random
8192 3124 241 332 random
8192 1936 223 238 random
8192 511236 35194 32840 sorted
8192 358219 29594 30639 sorted
8192 355058 27385 32112 sorted
8192 464430 34910 34809 sorted
8192 404506 26588 26445 sorted
8192 353439 25748 25985 sorted
8192 417054 30286 36127 sorted
8192 391506 26593 42593 sorted
8192 412869 30393 49409 sorted
8192 460574 29845 33743 sorted
16384 11635 495 561 random
16384 8806 363 537 random
16384 4573 273 291 random
16384 4420 371 270 random
16384 4626 261 246 random
16384 4506 372 320 random
16384 4432 548 318 random
16384 5582 325 332 random
16384 5467 480 324 random
16384 4391 526 317 random
16384 1806924 53284 59522 sorted
16384 1886238 63434 62148 sorted
16384 4731416 75862 78478 sorted
16384 2022186 67512 62683 sorted
16384 2153444 64384 80030 sorted
16384 2327356 85694 98077 sorted
16384 1926629 66268 83200 sorted
16384 1783148 64115 90425 sorted
16384 1777026 66720 66870 sorted
16384 1896219 72565 71344 sorted
32768 19229 429 542 random
32768 16638 511 540 random
32768 12595 427 809 random
32768 11638 435 477 random
32768 10940 479 441 random
32768 12218 440 435 random
32768 16948 568 476 random
32768 10133 469 468 random
32768 20755 633 1136 random
32768 15849 1782 478 random
32768 10929218 138319 153322 sorted
32768 7480731 147667 148614 sorted
32768 7807971 147869 146585 sorted
32768 7684099 148207 146565 sorted
32768 7767401 154953 165102 sorted
32768 12164289 117540 133012 sorted
32768 6607985 111700 116835 sorted
32768 6094024 111208 116245 sorted
32768 6066270 116479 114910 sorted
1024 230 105 99 random
1024 169 116 104 random
1024 158 101 92 random
1024 181 100 92 random
1024 168 108 97 random
1024 170 91 90 random
1024 159 98 108 random
1024 170 103 99 random
1024 159 93 96 random
1024 183 123 109 random
1024 5176 2775 2718 sorted
1024 5216 3998 2675 sorted
1024 4697 2704 2773 sorted
1024 4654 2636 2711 sorted
1024 4663 3224 3311 sorted
1024 6601 2730 2648 sorted
1024 4739 3043 2767 sorted
1024 5130 2632 2680 sorted
1024 5052 2666 2647 sorted
1024 5123 2760 2802 sorted
2048 584 136 120 random
1024 183 101 99 random
1024 178 106 104 random
1024 165 96 90 random
1024 162 98 107 random
1024 175 97 131 random
1024 161 96 98 random
1024 186 105 98 random
1024 183 87 96 random
1024 152 106 88 random
1024 155 92 97 random
1024 5483 3005 2640 sorted
1024 5484 4160 4711 sorted
1024 4697 5785 3638 sorted
1024 6686 3354 2722 sorted
1024 5533 2915 2790 sorted
1024 5817 3405 3512 sorted
1024 5861 2756 2719 sorted
1024 5770 2702 2662 sorted
1024 5804 3262 3404 sorted
1024 5875 4987 2711 sorted
2048 547 141 132 random
2048 352 125 119 random
2048 354 127 122 random
2048 391 126 122 random
2048 443 129 116 random
2048 378 140 131 random
2048 358 139 113 random
2048 363 124 120 random
2048 401 164 150 random
2048 373 120 118 random
2048 23597 6983 7147 sorted
2048 23792 6951 8091 sorted
2048 23611 7147 6794 sorted
