1024 23.439 0.762 29.192
2048 56.336 1.072 64.898
4096 107.025 1.22 113.952
8192 231.308 1.706 265.65
16384 492.301 2.427 535.538
32768 974.48 3.599 966.701
65536 2300.8 4.793 1924.64
