1024 19 12 12
1024 22 11 18
2048 23 13 14
2048 25 12 20
4096 27 14 14
4096 27 13 22
8192 30 15 16
8192 28 14 24
16384 33 17 17
16384 34 15 26
32768 38 18 18
32768 36 16 28
65536 37 19 20
65536 39 17 30
