25 4e-06 2e-06
124 8e-06 7e-06
220 2e-06 2e-06
399 2.2e-05 1.7e-05
495 3.3e-05 2.7e-05
568 3.3e-05 3.3e-05
699 4.6e-05 3.9e-05
830 0.000101 4.5e-05
887 1e-05 1e-05
1061 9.4e-05 5.2e-05
